figura,ordem,categoria,serie,valor,proveniencia
grafico_5,5,Confiança explicabilidade e orientação ao usuário,Evidência central,17,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,1,Compliance e gestão de risco,Técnica,131,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,1,Compliance e gestão de risco,Interacional,40,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,1,Compliance e gestão de risco,Organizacional,111,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,1,Compliance e gestão de risco,Regulatória,83,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,1,Compliance e gestão de risco,Evolutiva,33,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,2,Controles técnicos e avaliação,Técnica,98,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,2,Controles técnicos e avaliação,Interacional,26,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,2,Controles técnicos e avaliação,Organizacional,77,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,2,Controles técnicos e avaliação,Regulatória,47,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,2,Controles técnicos e avaliação,Evolutiva,27,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,3,Accountability e auditoria,Técnica,82,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,3,Accountability e auditoria,Interacional,26,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,3,Accountability e auditoria,Organizacional,77,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,3,Accountability e auditoria,Regulatória,53,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,3,Accountability e auditoria,Evolutiva,21,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,4,Explicabilidade confiança e limites,Técnica,66,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,4,Explicabilidade confiança e limites,Interacional,26,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,4,Explicabilidade confiança e limites,Organizacional,61,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,4,Explicabilidade confiança e limites,Regulatória,43,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,4,Explicabilidade confiança e limites,Evolutiva,15,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,5,Aprendizagem operacional,Técnica,74,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,5,Aprendizagem operacional,Interacional,21,Artigo_v2_final pré-redesign; valor publicado preservado
